GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Azure Java Functions,com.function,TekvLSDeleteUsageDetailsById,0,340,1,11,0,55,1,7,0,2
Azure Java Functions,com.function,TekvLSCreateSubaccountAdminEmail,0,291,0,10,0,46,0,7,0,2
Azure Java Functions,com.function,TekvLSModifyCustomerById,0,405,0,10,0,63,0,7,0,2
Azure Java Functions,com.function,TekvLSGetAllProjects,0,526,2,20,0,79,2,12,0,2
Azure Java Functions,com.function,TekvLSCreateCustomer,0,683,0,18,0,98,0,12,0,3
Azure Java Functions,com.function,TekvLSDeleteSubaccountAdminEmail,0,220,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSDeleteLicenseById,0,213,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSModifyBundleById,0,413,0,10,0,62,0,7,0,2
Azure Java Functions,com.function,TekvLSDeleteCustomerById,0,306,0,8,0,47,0,6,0,2
Azure Java Functions,com.function,TekvLSCreateSubaccountAdminEmail.CreateSubaccountAdminRequest,0,36,0,0,0,7,0,4,0,4
Azure Java Functions,com.function,TekvLSGetAllCustomers,0,614,0,24,0,92,0,18,0,5
Azure Java Functions,com.function,TekvLSDeleteDeviceById,0,213,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSCreateSubaccount,0,613,1,15,0,93,1,10,0,3
Azure Java Functions,com.function,TekvLSGetAllLicenses,0,515,0,24,0,78,0,15,0,2
Azure Java Functions,com.function,TekvLSGetAllSubaccounts,0,559,0,20,0,84,0,16,0,5
Azure Java Functions,com.function,TekvLSModifySubaccountById,0,392,0,10,0,63,0,7,0,2
Azure Java Functions,com.function,TekvLSDeleteBundleById,0,228,0,6,0,38,0,5,0,2
Azure Java Functions,com.function,TekvLSDeleteLicenseUsageById,0,239,0,4,0,38,0,4,0,2
Azure Java Functions,com.function,TekvLSGetAllLicenseUsageDetails.USAGE_TYPE_ENUM,0,37,0,0,0,7,0,3,0,3
Azure Java Functions,com.function,TekvLSGetAllLicenseUsageDetails,0,965,3,32,0,142,3,18,0,2
Azure Java Functions,com.function,TekvLSGetAllDevices,0,501,1,31,0,78,1,17,0,2
Azure Java Functions,com.function,TekvLSCreateBundle,0,466,0,8,0,66,0,6,0,2
Azure Java Functions,com.function,TekvLSCreateAdminEmail.CreateAdminRequest,0,36,0,0,0,7,0,4,0,4
Azure Java Functions,com.function,TekvLSModifyLicenseById,0,457,0,10,0,63,0,7,0,2
Azure Java Functions,com.function,TekvLSCreateLicense,0,639,0,12,0,87,0,8,0,2
Azure Java Functions,com.function,TekvLSCreateLicenseUsageDetail,0,842,1,21,0,110,1,13,0,3
Azure Java Functions,com.function,TekvLSCreateDevice,0,628,0,12,0,80,0,8,0,2
Azure Java Functions,com.function,TekvLSCreateProject,0,585,1,13,0,83,1,9,0,3
Azure Java Functions,com.function,TekvLSGetConsumptionUsageDetails,0,460,1,15,0,69,1,10,0,2
Azure Java Functions,com.function,TekvLSGetAllBundles,0,320,0,10,0,52,0,7,0,2
Azure Java Functions,com.function,TekvLSCreateUsageDetails,0,388,1,11,0,59,1,7,0,2
Azure Java Functions,com.function,TekvLSModifyDeviceById,0,496,0,10,0,63,0,7,0,2
Azure Java Functions,com.function,TekvLSDeleteProjectById,0,213,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSDeleteAdminEmail,0,220,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSDeleteSubaccountById,0,213,0,4,0,35,0,4,0,2
Azure Java Functions,com.function,TekvLSModifyProjectById,0,455,0,12,0,63,0,8,0,2
Azure Java Functions,com.function,TekvLSCreateAdminEmail,0,298,0,10,0,46,0,7,0,2
Azure Java Functions,com.function,TekvLSModifyLicenseUsageById,0,497,0,12,0,70,0,8,0,2
Azure Java Functions,com.function.auth,Permission,3,408,0,0,1,40,1,2,1,2
Azure Java Functions,com.function.auth,SigningKeyResolver.InstanceProvider,0,5,0,0,0,1,0,1,0,1
Azure Java Functions,com.function.auth,RoleAuthHandler,124,568,9,15,31,53,10,15,1,8
Azure Java Functions,com.function.auth,SigningKeyResolver,28,160,4,8,9,39,4,10,0,8
